WKT,Id,nombre,area
"MULTIPOLYGON (((-58.3749344890699 -34.6086028711368,-58.3751696371316 -34.6086178301548,-58.3763716876341 -34.6087019330975,-58.3777850412622 -34.6088007501484,-58.3791913293552 -34.6088990529925,-58.3794460661524 -34.6089168342114,-58.3806856860316 -34.6090019063979,-58.3807167133665 -34.6083754399176,-58.3807765047952 -34.607256450744,-58.3808391584838 -34.6060835892649,-58.3808904410365 -34.6051254412379,-58.3809034903968 -34.6049343909708,-58.3809425507892 -34.6043634231956,-58.380959737762 -34.6040356835675,-58.3809789223163 -34.6036685784958,-58.3810392502233 -34.6025166304488,-58.3810500129913 -34.6023117050969,-58.3811056324446 -34.6013553198931,-58.3811153342651 -34.6011896197215,-58.3811771884982 -34.6002136607448,-58.3811867048087 -34.6000631014861,-58.3812369015678 -34.5992484749516,-58.3812537228408 -34.5990305251761,-58.3810243876402 -34.5990198072164,-58.3797459598027 -34.5989708391905,-58.3782829978977 -34.5989082784296,-58.3768429868067 -34.5988074763703,-58.3753722375173 -34.5987045224642,-58.3741913658664 -34.5986218335931,-58.3727984650692 -34.5985162998182,-58.3714841667356 -34.5984167248974,-58.3711699968507 -34.5983945627439,-58.3709576369548 -34.5983852185896,-58.3706397843548 -34.5995001959298,-58.3703563908949 -34.6006348511981,-58.3701950463742 -34.6018794226824,-58.3700931545611 -34.6029969919482,-58.3699462502802 -34.6043111704598,-58.3698511575379 -34.6053313061996,-58.3697911309219 -34.6060232329166,-58.3697598547857 -34.6061817766976,-58.3697104233464 -34.606353163386,-58.3696703470394 -34.606415006202,-58.3698319542844 -34.6065953937796,-58.3698026494634 -34.607185464127,-58.3698728235699 -34.6073964344161,-58.3706176458649 -34.6074896597797,-58.3708384555319 -34.6075713751124,-58.3710884722305 -34.6077818157645,-58.3712577599906 -34.6078504052795,-58.3715386575895 -34.6078821869804,-58.3721820796716 -34.6079283725912,-58.3731716304268 -34.6079994387975,-58.373517655478 -34.6080242935999,-58.3735146845231 -34.6081731667041,-58.3735081020925 -34.6085120397545,-58.3749344890699 -34.6086028711368)))",1,Microcentro,"C. Pellegrini, Av. Córdoba, Av. Leandro N. Alem, y Av. de Mayo"
"MULTIPOLYGON (((-58.3711269223518 -34.6135882891937,-58.3712533549483 -34.6135934890643,-58.3713582525908 -34.6124345930703,-58.3712219014003 -34.6124265853129,-58.3710839572945 -34.6124184636782,-58.370982945687 -34.613582370978,-58.3711269223518 -34.6135882891937)),((-58.3788983678464 -34.6117250154899,-58.3790574663724 -34.6117363227824,-58.3791243357789 -34.6106335373447,-58.3790493860004 -34.6106289080845,-58.3777023348409 -34.6105463496208,-58.3775160679793 -34.6105348806141,-58.3765136221663 -34.6104687482403,-58.3762678248183 -34.6104508264305,-58.3753363339707 -34.6103828335455,-58.374968321052 -34.6103551025003,-58.3749454308438 -34.6104148050365,-58.3748483969939 -34.6104329039844,-58.3748408184903 -34.6106718453502,-58.3747908187467 -34.6114760451352,-58.3762091682129 -34.6115648135007,-58.3767098025719 -34.6115965082917,-58.3774789819842 -34.6116446580495,-58.3776499214295 -34.6116542853431,-58.378554205545 -34.6117055184233,-58.378715485246 -34.611714655168,-58.3788983678464 -34.6117250154899)))",2,Casco Histórico,"Perú, Tacuarí, Moreno y Alsina; y el Pasaje 5 de Julio
"
"MULTIPOLYGON (((-58.3822092818586 -34.6037389808701,-58.3837151466001 -34.6038273680103,-58.3851362764205 -34.6039107526649,-58.3863457762793 -34.603981663354,-58.3865258983824 -34.6039922699342,-58.3865945393621 -34.6039977357194,-58.3866438695672 -34.6027737346762,-58.3866821326747 -34.6018214206201,-58.3866973620024 -34.6016527656894,-58.3867939830169 -34.6005849229154,-58.3867082264306 -34.6005796577698,-58.3868094784517 -34.5992894199246,-58.3854753584282 -34.5992269556642,-58.3842067285578 -34.5991674770774,-58.384032320734 -34.5991594060354,-58.3827756146427 -34.5991011879409,-58.3825246483582 -34.5990895430171,-58.382509604242 -34.5993225647981,-58.3824515260174 -34.6001098622752,-58.3824355629847 -34.6003240098735,-58.382355572212 -34.6013989025946,-58.3823422838216 -34.6015769950326,-58.3822781143434 -34.6025821082128,-58.3822328174512 -34.6033573942359,-58.3822092818586 -34.6037389808701)))",3,Tribunales,"Av. Corrientes, Uruguay, Av. Córdoba y Cerrito."
"MULTIPOLYGON (((-58.4087678114404 -34.609105874548,-58.4087326307907 -34.6091024506598,-58.4060321755898 -34.6088396029941,-58.4060395733836 -34.6087334782279,-58.4061225300438 -34.6077430102929,-58.4061329208702 -34.6076190697515,-58.4059870473838 -34.6067121574602,-58.4059475570033 -34.6065457985002,-58.4057159674622 -34.6055712387944,-58.4055201352749 -34.6047473314355,-58.4054722274842 -34.6045629398499,-58.4044828295674 -34.6046635247322,-58.4036336285152 -34.6047498742445,-58.4021399524671 -34.6047129369616,-58.4012015771202 -34.6046833076322,-58.4008388466627 -34.6046749533494,-58.4006337622043 -34.6046702002352,-58.3996270817819 -34.6046408758143,-58.3994826392582 -34.6046346030779,-58.3982219194889 -34.6045795701756,-58.3982000804093 -34.6047344903576,-58.3979940733884 -34.6059082000384,-58.3979805321063 -34.6060158703898,-58.3979645912768 -34.6061423425388,-58.3978529240674 -34.6072382137633,-58.3978426246731 -34.6073385617675,-58.3977399562248 -34.6082512659302,-58.397729644111 -34.6083674591924,-58.3975927518854 -34.6095807121936,-58.3991057006335 -34.6096979980984,-58.4000761227233 -34.6097732241711,-58.4004736139472 -34.6097982890019,-58.4007730739581 -34.6098171754921,-58.4009657546133 -34.6098315765151,-58.4014675499676 -34.6098690794331,-58.4017842167458 -34.6098866341141,-58.4033260730701 -34.6099736001507,-58.4045770736253 -34.6100414631338,-58.4055476898854 -34.610095237036,-58.4059686077253 -34.6101198725106,-58.4076676860226 -34.610236787447,-58.4085844628068 -34.6103104424789,-58.4088848600029 -34.6103345912418,-58.4088834316098 -34.6101740250248,-58.4089373991123 -34.6093106569003,-58.4088963265068 -34.6092086653479,-58.408837448737 -34.6091126518318,-58.4087678114404 -34.609105874548)))",4,Once,"Pueyrredón, Corrientes, Rivadavia, Uriburu y el entorno de Plaza Miserere"
"MULTIPOLYGON (((-58.3776893012637 -34.5950279434554,-58.3785051423227 -34.5950997114103,-58.3799578384375 -34.5952275452177,-58.3812298453188 -34.5953394654438,-58.3814883692874 -34.5953613999506,-58.3814966204617 -34.5951971775081,-58.3815963174833 -34.5941789885072,-58.3816273520304 -34.5930101874788,-58.3816190934065 -34.5928344748522,-58.3815609472992 -34.5916004719333,-58.3815499351609 -34.5913672212504,-58.3815500976872 -34.5905927014025,-58.381440468335 -34.5903676945681,-58.3809093269488 -34.5892773187566,-58.3795433112859 -34.5900208380672,-58.3793969545921 -34.5901026752713,-58.3787531965007 -34.5904920617104,-58.37785940592 -34.5910784208362,-58.3771334740682 -34.5915546788979,-58.3766740871824 -34.5918540065026,-58.3754440115325 -34.5926556050892,-58.3755123018015 -34.5929039681469,-58.3757280068064 -34.5929839131629,-58.3768476007485 -34.5944362842463,-58.3768687648078 -34.594557639214,-58.3770355279047 -34.5945367709629,-58.3772530282556 -34.5945328399503,-58.3774753069662 -34.5946025046411,-58.3776382439249 -34.5947416354404,-58.3776628520078 -34.5948274991571,-58.3776924077669 -34.5949051971941,-58.3776893012637 -34.5950279434554)))",5,Retiro,"Carlos Pellegrini, Av. Del Libertador, Maipú y Av. Santa Fe"
