Día, Mes, Año de H_Fecha;Hora de H_Fecha;Aut Nombre;Disp Nombre;Disp Ubicacion;Seccion Sentido;Disp Lat;Disp Lng;H_Cant_Veh
1/1/2023;0;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;887
1/1/2023;1;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3443
1/1/2023;2;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4383
1/1/2023;3;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2528
1/1/2023;4;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1135
1/1/2023;5;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1158
1/1/2023;6;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1147
1/1/2023;7;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1033
1/1/2023;8;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;834
1/1/2023;9;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;829
1/1/2023;10;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1096
1/1/2023;11;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1565
1/1/2023;12;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2272
1/1/2023;13;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2271
1/1/2023;14;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2040
1/1/2023;15;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2499
1/1/2023;16;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3294
1/1/2023;17;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3580
1/1/2023;18;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3846
1/1/2023;19;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3963
1/1/2023;20;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3928
1/1/2023;21;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3766
1/1/2023;22;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2707
1/1/2023;23;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2005
2/1/2023;0;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1211
2/1/2023;1;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;732
2/1/2023;2;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;580
2/1/2023;3;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;624
2/1/2023;4;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1137
2/1/2023;5;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2597
2/1/2023;6;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4587
2/1/2023;7;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;6217
2/1/2023;8;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;6704
2/1/2023;9;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;6630
2/1/2023;10;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5825
2/1/2023;11;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5417
2/1/2023;12;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4961
2/1/2023;13;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4956
2/1/2023;14;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4645
2/1/2023;15;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4568
2/1/2023;16;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4502
2/1/2023;17;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5056
2/1/2023;18;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4412
2/1/2023;19;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3617
2/1/2023;20;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;3345
2/1/2023;21;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2699
2/1/2023;22;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2106
2/1/2023;23;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1743
3/1/2023;0;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;1224
3/1/2023;1;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;805
3/1/2023;2;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;569
3/1/2023;3;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;519
3/1/2023;4;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;897
3/1/2023;5;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;2185
3/1/2023;6;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4490
3/1/2023;7;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;6945
3/1/2023;8;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;7513
3/1/2023;9;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;7638
3/1/2023;10;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;6567
3/1/2023;11;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5933
3/1/2023;12;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5524
3/1/2023;13;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;5350
3/1/2023;14;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4836
3/1/2023;15;AU 4  Lugones;RD165 Dorrego;4,74;A;-34,56336;-58,41529;4636
