id_siniestro;fecha_siniestro;anio_siniestro;modo_desplazamiento_victima;sexo_victima;edad_victima;GRAVEdad_victima;rol_victima;fecha_fallecimiento_victima
LC-2019-0000647;2019-01-01;2019;MOTO;M;54;GRAVE;SD;
LC-2019-0000600;2019-01-01;2019;SD;F;1;LEVE;SD;
LC-2019-0000136;2019-01-01;2019;SD;F;21;LEVE;SD;
LC-2019-0000082;2019-01-01;2019;SD;F;32;LEVE;SD;
LC-2019-0000194;2019-01-01;2019;SD;F;33;LEVE;SD;
LC-2019-0000445;2019-01-01;2019;SD;F;42;LEVE;SD;
LC-2019-0000082;2019-01-01;2019;SD;F;45;LEVE;SD;
LC-2019-0000636;2019-01-01;2019;SD;F;62;LEVE;SD;
LC-2019-0000686;2019-01-01;2019;SD;F;67;LEVE;SD;
LC-2019-0005235;2019-01-01;2019;SD;F;75;LEVE;SD;
LC-2019-0000136;2019-01-01;2019;SD;M;21;LEVE;SD;
LC-2019-0000329;2019-01-01;2019;SD;M;23;LEVE;SD;
LC-2019-0000202;2019-01-01;2019;SD;M;25;LEVE;SD;
LC-2019-0000082;2019-01-01;2019;SD;M;27;LEVE;SD;
LC-2019-0000142;2019-01-01;2019;SD;M;37;LEVE;SD;
LC-2019-0000445;2019-01-01;2019;SD;M;37;LEVE;SD;
LC-2019-0000445;2019-01-01;2019;SD;M;42;LEVE;SD;
LC-2019-0000082;2019-01-01;2019;SD;M;45;LEVE;SD;
LC-2019-0000493;2019-01-01;2019;SD;M;53;LEVE;SD;
LC-2019-0000053;2019-01-01;2019;SD;M;57;LEVE;SD;
LC-2019-0000079;2019-01-01;2019;SD;M;SD;LEVE;SD;
LC-2019-0000347;2019-01-01;2019;SD;M;SD;LEVE;SD;
LC-2019-0000063;2019-01-01;2019;SD;SD;SD;LEVE;SD;
LC-2019-0000179;2019-01-01;2019;SD;SD;SD;LEVE;SD;
LC-2019-0002208;2019-01-02;2019;MOTO;M;34;GRAVE;SD;
LC-2019-0000963;2019-01-02;2019;SD;F;3;LEVE;SD;
LC-2019-0000963;2019-01-02;2019;SD;F;27;LEVE;SD;
LC-2019-0003220;2019-01-02;2019;SD;F;28;LEVE;SD;
LC-2019-0000963;2019-01-02;2019;SD;F;33;LEVE;SD;
LC-2019-0000928;2019-01-02;2019;SD;F;40;LEVE;SD;
LC-2019-0000963;2019-01-02;2019;SD;F;48;LEVE;SD;
LC-2019-0001754;2019-01-02;2019;SD;F;49;LEVE;SD;
LC-2019-0002083;2019-01-02;2019;SD;M;27;LEVE;SD;
LC-2019-0003220;2019-01-02;2019;SD;M;28;LEVE;SD;
LC-2019-0001992;2019-01-02;2019;SD;M;34;LEVE;SD;
LC-2019-0002740;2019-01-02;2019;SD;M;44;LEVE;SD;
LC-2019-0000963;2019-01-02;2019;SD;M;48;LEVE;SD;
LC-2019-0001987;2019-01-02;2019;SD;M;50;LEVE;SD;
LC-2019-0020183;2019-01-02;2019;SD;M;50;LEVE;SD;
LC-2019-0002218;2019-01-02;2019;SD;M;52;LEVE;SD;
LC-2019-0005610;2019-01-02;2019;SD;M;59;LEVE;SD;
LC-2019-0022496;2019-01-02;2019;SD;M;73;LEVE;SD;
LC-2019-0001948;2019-01-02;2019;SD;M;SD;LEVE;SD;
LC-2019-0001879;2019-01-02;2019;SD;SD;SD;LEVE;SD;
LC-2019-0003340;2019-01-02;2019;SD;SD;SD;LEVE;SD;
LC-2019-0005638;2019-01-03;2019;SD;F;36;LEVE;SD;
LC-2019-0003862;2019-01-03;2019;SD;F;37;LEVE;SD;
LC-2019-0004442;2019-01-03;2019;SD;F;38;LEVE;SD;
LC-2019-0004229;2019-01-03;2019;SD;F;43;LEVE;SD;
LC-2019-0005622;2019-01-03;2019;SD;F;64;LEVE;SD;
LC-2019-0003884;2019-01-03;2019;SD;F;SD;LEVE;SD;
LC-2019-0004565;2019-01-03;2019;SD;F;SD;LEVE;SD;
LC-2019-0004622;2019-01-03;2019;SD;F;SD;LEVE;SD;
LC-2019-0005681;2019-01-03;2019;SD;F;SD;LEVE;SD;
LC-2019-0004144;2019-01-03;2019;SD;M;16;LEVE;SD;
LC-2019-0005815;2019-01-03;2019;SD;M;22;LEVE;SD;
LC-2019-0005979;2019-01-03;2019;SD;M;26;LEVE;SD;
LC-2019-0003432;2019-01-03;2019;SD;M;27;LEVE;SD;
LC-2019-0004652;2019-01-03;2019;SD;M;28;LEVE;SD;
LC-2019-0005334;2019-01-03;2019;SD;M;33;LEVE;SD;
LC-2019-0005638;2019-01-03;2019;SD;M;36;LEVE;SD;
LC-2019-0003862;2019-01-03;2019;SD;M;37;LEVE;SD;
LC-2019-0004442;2019-01-03;2019;SD;M;38;LEVE;SD;
LC-2019-0005614;2019-01-03;2019;SD;M;43;LEVE;SD;
LC-2019-0003428;2019-01-03;2019;SD;M;45;LEVE;SD;
LC-2019-0004717;2019-01-03;2019;SD;M;45;LEVE;SD;
LC-2019-0005647;2019-01-03;2019;SD;M;45;LEVE;SD;
LC-2019-0003787;2019-01-03;2019;SD;M;48;LEVE;SD;
LC-2019-0003642;2019-01-03;2019;SD;M;51;LEVE;SD;
LC-2019-0004718;2019-01-03;2019;SD;M;51;LEVE;SD;
LC-2019-0005764;2019-01-03;2019;SD;M;84;LEVE;SD;
LC-2019-0004621;2019-01-03;2019;SD;M;SD;LEVE;SD;
LC-2019-0006789;2019-01-04;2019;SD;F;5;LEVE;SD;
LC-2019-0006068;2019-01-04;2019;SD;F;20;LEVE;SD;
LC-2019-0008227;2019-01-04;2019;SD;F;26;LEVE;SD;
LC-2019-0008283;2019-01-04;2019;SD;F;26;LEVE;SD;
LC-2019-0007536;2019-01-04;2019;SD;F;28;LEVE;SD;
LC-2019-0008388;2019-01-04;2019;SD;F;34;LEVE;SD;
LC-2019-0008493;2019-01-04;2019;SD;F;34;LEVE;SD;
LC-2019-0011897;2019-01-04;2019;SD;F;38;LEVE;SD;
LC-2019-0008077;2019-01-04;2019;SD;F;44;LEVE;SD;
LC-2019-0008314;2019-01-04;2019;SD;F;55;LEVE;SD;
LC-2019-0007778;2019-01-04;2019;SD;F;56;LEVE;SD;
LC-2019-0008238;2019-01-04;2019;SD;F;69;LEVE;SD;
LC-2019-0008238;2019-01-04;2019;SD;F;69;LEVE;SD;
LC-2019-0006837;2019-01-04;2019;SD;F;SD;LEVE;SD;
LC-2019-0006857;2019-01-04;2019;SD;F;SD;LEVE;SD;
LC-2019-0008388;2019-01-04;2019;SD;F;SD;LEVE;SD;
LC-2019-0008388;2019-01-04;2019;SD;F;SD;LEVE;SD;
LC-2019-0006068;2019-01-04;2019;SD;M;20;LEVE;SD;
LC-2019-0007660;2019-01-04;2019;SD;M;23;LEVE;SD;
LC-2019-0020135;2019-01-04;2019;SD;M;23;LEVE;SD;
LC-2019-0008283;2019-01-04;2019;SD;M;26;LEVE;SD;
LC-2019-0008566;2019-01-04;2019;SD;M;26;LEVE;SD;
LC-2019-0020930;2019-01-04;2019;SD;M;28;LEVE;SD;
LC-2019-0008467;2019-01-04;2019;SD;M;29;LEVE;SD;
LC-2019-0007021;2019-01-04;2019;SD;M;34;LEVE;SD;
LC-2019-0007701;2019-01-04;2019;SD;M;34;LEVE;SD;
LC-2019-0008565;2019-01-04;2019;SD;M;34;LEVE;SD;
LC-2019-0006638;2019-01-04;2019;SD;M;37;LEVE;SD;
LC-2019-0006638;2019-01-04;2019;SD;M;37;LEVE;SD;
LC-2019-0006547;2019-01-04;2019;SD;M;38;LEVE;SD;
LC-2019-0007294;2019-01-04;2019;SD;M;39;LEVE;SD;
LC-2019-0267364;2019-01-04;2019;SD;M;41;LEVE;SD;
LC-2019-0008367;2019-01-04;2019;SD;M;46;LEVE;SD;
LC-2019-0006659;2019-01-04;2019;SD;M;48;LEVE;SD;
LC-2019-0017883;2019-01-04;2019;SD;M;53;LEVE;SD;
LC-2019-0006306;2019-01-04;2019;SD;M;SD;LEVE;SD;
LC-2019-0007002;2019-01-04;2019;SD;M;SD;LEVE;SD;
LC-2019-0007187;2019-01-04;2019;SD;M;SD;LEVE;SD;
LC-2019-0007336;2019-01-04;2019;SD;M;SD;LEVE;SD;
LC-2019-0007634;2019-01-04;2019;SD;M;SD;LEVE;SD;
LC-2019-0008496;2019-01-04;2019;SD;M;SD;LEVE;SD;
LC-2019-0009580;2019-01-05;2019;SD;F;6;LEVE;SD;
LC-2019-0010621;2019-01-05;2019;SD;F;12;LEVE;SD;
LC-2019-0008974;2019-01-05;2019;SD;F;29;LEVE;SD;
LC-2019-0009722;2019-01-05;2019;SD;F;30;LEVE;SD;
LC-2019-0009392;2019-01-05;2019;SD;F;40;LEVE;SD;
LC-2019-0009312;2019-01-05;2019;SD;F;74;LEVE;SD;
LC-2019-0012840;2019-01-05;2019;SD;F;83;LEVE;SD;
LC-2019-0052387;2019-01-05;2019;SD;M;27;LEVE;SD;
LC-2019-0010031;2019-01-05;2019;SD;M;28;LEVE;SD;
LC-2019-0008916;2019-01-05;2019;SD;M;33;LEVE;SD;
LC-2019-0009194;2019-01-05;2019;SD;M;33;LEVE;SD;
LC-2019-0008860;2019-01-05;2019;SD;M;40;LEVE;SD;
LC-2019-0009807;2019-01-05;2019;SD;M;40;LEVE;SD;
LC-2019-0009807;2019-01-05;2019;SD;M;40;LEVE;SD;
LC-2019-0009305;2019-01-05;2019;SD;M;42;LEVE;SD;
LC-2019-0008603;2019-01-05;2019;SD;M;43;LEVE;SD;
LC-2019-0009123;2019-01-05;2019;SD;M;51;LEVE;SD;
LC-2019-0009068;2019-01-05;2019;SD;M;54;LEVE;SD;
LC-2019-0008860;2019-01-05;2019;SD;M;67;LEVE;SD;
LC-2019-0008860;2019-01-05;2019;SD;M;67;LEVE;SD;
LC-2019-0009325;2019-01-05;2019;SD;M;70;LEVE;SD;
LC-2019-0008924;2019-01-05;2019;SD;M;SD;LEVE;SD;
LC-2019-0010436;2019-01-06;2019;MOTO;M;12;GRAVE;SD;
LC-2019-0010436;2019-01-06;2019;MOTO;M;12;GRAVE;SD;
LC-2019-0010730;2019-01-06;2019;SD;F;12;LEVE;SD;
LC-2019-0010884;2019-01-06;2019;SD;F;12;LEVE;SD;
LC-2019-0010145;2019-01-06;2019;SD;F;35;LEVE;SD;
LC-2019-0010983;2019-01-06;2019;SD;F;44;LEVE;SD;
LC-2019-0010983;2019-01-06;2019;SD;F;44;LEVE;SD;
LC-2019-0010228;2019-01-06;2019;SD;M;12;LEVE;SD;
LC-2019-0010301;2019-01-06;2019;SD;M;12;LEVE;SD;
LC-2019-0010649;2019-01-06;2019;SD;M;12;LEVE;SD;
LC-2019-0010661;2019-01-06;2019;SD;M;12;LEVE;SD;
LC-2019-0010814;2019-01-06;2019;SD;M;12;LEVE;SD;
LC-2019-0010884;2019-01-06;2019;SD;M;12;LEVE;SD;
LC-2019-0010050;2019-01-06;2019;SD;M;24;LEVE;SD;
LC-2019-0010105;2019-01-06;2019;SD;M;27;LEVE;SD;
LC-2019-0012823;2019-01-07;2019;MOTO;M;19;GRAVE;SD;
LC-2019-0013652;2019-01-07;2019;SD;F;2;LEVE;SD;
LC-2019-0013412;2019-01-07;2019;SD;F;9;LEVE;SD;
LC-2019-0013857;2019-01-07;2019;SD;F;13;LEVE;SD;
LC-2019-0013652;2019-01-07;2019;SD;F;35;LEVE;SD;
LC-2019-0013652;2019-01-07;2019;SD;F;35;LEVE;SD;
LC-2019-0013440;2019-01-07;2019;SD;F;49;LEVE;SD;
LC-2019-0012578;2019-01-07;2019;SD;F;74;LEVE;SD;
LC-2019-0015962;2019-01-07;2019;SD;M;6;LEVE;SD;
LC-2019-0013412;2019-01-07;2019;SD;M;9;LEVE;SD;
LC-2019-0013857;2019-01-07;2019;SD;M;13;LEVE;SD;
LC-2019-0011908;2019-01-07;2019;SD;M;15;LEVE;SD;
LC-2019-0011575;2019-01-07;2019;SD;M;21;LEVE;SD;
LC-2019-0011575;2019-01-07;2019;SD;M;21;LEVE;SD;
LC-2019-0012172;2019-01-07;2019;SD;M;22;LEVE;SD;
LC-2019-0012293;2019-01-07;2019;SD;M;22;LEVE;SD;
LC-2019-0012508;2019-01-07;2019;SD;M;22;LEVE;SD;
LC-2019-0011534;2019-01-07;2019;SD;M;25;LEVE;SD;
LC-2019-0013652;2019-01-07;2019;SD;M;26;LEVE;SD;
LC-2019-0011335;2019-01-07;2019;SD;M;27;LEVE;SD;
LC-2019-0013193;2019-01-07;2019;SD;M;27;LEVE;SD;
LC-2019-0011053;2019-01-07;2019;SD;M;29;LEVE;SD;
LC-2019-0013370;2019-01-07;2019;SD;M;30;LEVE;SD;
LC-2019-0012638;2019-01-07;2019;SD;M;34;LEVE;SD;
LC-2019-0012821;2019-01-07;2019;SD;M;34;LEVE;SD;
LC-2019-0013261;2019-01-07;2019;SD;M;37;LEVE;SD;
LC-2019-0012580;2019-01-07;2019;SD;M;38;LEVE;SD;
LC-2019-0013452;2019-01-07;2019;SD;M;39;LEVE;SD;
LC-2019-0013235;2019-01-07;2019;SD;M;45;LEVE;SD;
LC-2019-0011092;2019-01-07;2019;SD;M;64;LEVE;SD;
LC-2019-0011431;2019-01-07;2019;SD;M;68;LEVE;SD;
LC-2019-0011004;2019-01-07;2019;SD;M;70;LEVE;SD;
LC-2019-0013589;2019-01-07;2019;SD;M;75;LEVE;SD;
LC-2019-0021745;2019-01-07;2019;SD;M;75;LEVE;SD;
HC-2019-0014291;2019-01-08;2019;MOTO;M;25;MORTAL;CONDUCTOR;2019-1-8
LC-2019-0016012;2019-01-08;2019;SD;F;17;LEVE;SD;
LC-2019-0013850;2019-01-08;2019;SD;F;29;LEVE;SD;
LC-2019-0014787;2019-01-08;2019;SD;F;30;LEVE;SD;
LC-2019-0015614;2019-01-08;2019;SD;F;31;LEVE;SD;
LC-2019-0015241;2019-01-08;2019;SD;F;64;LEVE;SD;
LC-2019-0015822;2019-01-08;2019;SD;M;5;LEVE;SD;
LC-2019-0014140;2019-01-08;2019;SD;M;9;LEVE;SD;
LC-2019-0014580;2019-01-08;2019;SD;M;18;LEVE;SD;
LC-2019-0013840;2019-01-08;2019;SD;M;22;LEVE;SD;
LC-2019-0015617;2019-01-08;2019;SD;M;24;LEVE;SD;
LC-2019-0014644;2019-01-08;2019;SD;M;29;LEVE;SD;
LC-2019-0014644;2019-01-08;2019;SD;M;29;LEVE;SD;
LC-2019-0014790;2019-01-08;2019;SD;M;30;LEVE;SD;
LC-2019-0015585;2019-01-08;2019;SD;M;31;LEVE;SD;
LC-2019-0014220;2019-01-08;2019;SD;M;32;LEVE;SD;
LC-2019-0014956;2019-01-08;2019;SD;M;32;LEVE;SD;
LC-2019-0015361;2019-01-08;2019;SD;M;33;LEVE;SD;
LC-2019-0015700;2019-01-08;2019;SD;M;34;LEVE;SD;
LC-2019-0013801;2019-01-08;2019;SD;M;39;LEVE;SD;
LC-2019-0016105;2019-01-08;2019;SD;M;40;LEVE;SD;
LC-2019-0016278;2019-01-08;2019;SD;M;40;LEVE;SD;
LC-2019-0015085;2019-01-08;2019;SD;M;41;LEVE;SD;
LC-2019-0014314;2019-01-08;2019;SD;M;42;LEVE;SD;
LC-2019-0014448;2019-01-08;2019;SD;M;62;LEVE;SD;
LC-2019-0014503;2019-01-08;2019;SD;M;62;LEVE;SD;
LC-2019-0015193;2019-01-08;2019;SD;M;64;LEVE;SD;
LC-2019-0014442;2019-01-08;2019;SD;M;83;LEVE;SD;
LC-2019-0015879;2019-01-08;2019;SD;SD;6;LEVE;SD;
LC-2019-0014534;2019-01-08;2019;SD;SD;18;LEVE;SD;
LC-2019-0030754;2019-01-09;2019;BICICLETA;M;31;GRAVE;CICLISTA;
HC-2019-0016448;2019-01-09;2019;AUTO;M;32;MORTAL;CONDUCTOR;2019-1-9
LC-2019-0017068;2019-01-09;2019;SD;F;24;LEVE;SD;
LC-2019-0018207;2019-01-09;2019;SD;F;33;LEVE;SD;
LC-2019-0017068;2019-01-09;2019;SD;F;43;LEVE;SD;
LC-2019-0031883;2019-01-09;2019;SD;F;55;LEVE;SD;
LC-2019-0017068;2019-01-09;2019;SD;F;58;LEVE;SD;
LC-2019-0016388;2019-01-09;2019;SD;F;SD;LEVE;SD;
LC-2019-0018592;2019-01-09;2019;SD;F;SD;LEVE;SD;
LC-2019-0018630;2019-01-09;2019;SD;F;SD;LEVE;SD;
LC-2019-0021352;2019-01-09;2019;SD;M;18;LEVE;SD;
LC-2019-0017186;2019-01-09;2019;SD;M;24;LEVE;SD;
LC-2019-0018006;2019-01-09;2019;SD;M;24;LEVE;SD;
LC-2019-0017182;2019-01-09;2019;SD;M;33;LEVE;SD;
LC-2019-0018500;2019-01-09;2019;SD;M;34;LEVE;SD;
LC-2019-0017460;2019-01-09;2019;SD;M;35;LEVE;SD;
LC-2019-0017561;2019-01-09;2019;SD;M;38;LEVE;SD;
LC-2019-0018425;2019-01-09;2019;SD;M;38;LEVE;SD;
LC-2019-0022439;2019-01-09;2019;SD;M;40;LEVE;SD;
LC-2019-0018518;2019-01-09;2019;SD;M;41;LEVE;SD;
LC-2019-0016613;2019-01-09;2019;SD;M;42;LEVE;SD;
LC-2019-0018751;2019-01-09;2019;SD;M;43;LEVE;SD;
LC-2019-0016581;2019-01-09;2019;SD;M;58;LEVE;SD;
LC-2019-0017068;2019-01-09;2019;SD;M;58;LEVE;SD;
LC-2019-0018474;2019-01-09;2019;SD;M;58;LEVE;SD;
LC-2019-0017514;2019-01-09;2019;SD;M;70;LEVE;SD;
LC-2019-0017514;2019-01-09;2019;SD;M;70;LEVE;SD;
LC-2019-0016388;2019-01-09;2019;SD;M;SD;LEVE;SD;
LC-2019-0017504;2019-01-09;2019;SD;M;SD;LEVE;SD;
LC-2019-0021335;2019-01-10;2019;MOTO;M;39;GRAVE;SD;
LC-2019-0020257;2019-01-10;2019;SD;F;42;LEVE;SD;
LC-2019-0020496;2019-01-10;2019;SD;F;62;LEVE;SD;
LC-2019-0020951;2019-01-10;2019;SD;M;12;LEVE;SD;
LC-2019-0020569;2019-01-10;2019;SD;M;24;LEVE;SD;
LC-2019-0020260;2019-01-10;2019;SD;M;26;LEVE;SD;
LC-2019-0019243;2019-01-10;2019;SD;M;29;LEVE;SD;
LC-2019-0021415;2019-01-10;2019;SD;M;31;LEVE;SD;
LC-2019-0020989;2019-01-10;2019;SD;M;33;LEVE;SD;
LC-2019-0021079;2019-01-10;2019;SD;M;34;LEVE;SD;
LC-2019-0093543;2019-01-10;2019;SD;M;36;LEVE;SD;
LC-2019-0018873;2019-01-10;2019;SD;M;49;LEVE;SD;
LC-2019-0020451;2019-01-10;2019;SD;M;54;LEVE;SD;
LC-2019-0020420;2019-01-10;2019;SD;SD;SD;LEVE;SD;
LC-2019-0022650;2019-01-11;2019;BICICLETA;F;25;GRAVE;CICLISTA;
LC-2019-0023488;2019-01-11;2019;BICICLETA;M;54;GRAVE;CICLISTA;
LC-2019-0023362;2019-01-11;2019;MOTO;M;42;GRAVE;SD;
LC-2019-0021365;2019-01-11;2019;SD;F;28;LEVE;SD;
LC-2019-0022670;2019-01-11;2019;SD;F;35;LEVE;SD;
LC-2019-0022606;2019-01-11;2019;SD;F;36;LEVE;SD;
LC-2019-0022790;2019-01-11;2019;SD;F;43;LEVE;SD;
LC-2019-0022275;2019-01-11;2019;SD;F;54;LEVE;SD;
LC-2019-0023164;2019-01-11;2019;SD;F;58;LEVE;SD;
LC-2019-0022492;2019-01-11;2019;SD;F;64;LEVE;SD;
LC-2019-0022298;2019-01-11;2019;SD;F;67;LEVE;SD;
LC-2019-0022348;2019-01-11;2019;SD;F;74;LEVE;SD;
LC-2019-0022256;2019-01-11;2019;SD;F;SD;LEVE;SD;
LC-2019-0023599;2019-01-11;2019;SD;F;SD;LEVE;SD;
LC-2019-0040263;2019-01-11;2019;SD;F;SD;LEVE;SD;
LC-2019-0023485;2019-01-11;2019;SD;M;22;LEVE;SD;
LC-2019-0024454;2019-01-11;2019;SD;M;23;LEVE;SD;
LC-2019-0021434;2019-01-11;2019;SD;M;24;LEVE;SD;
LC-2019-0032150;2019-01-11;2019;SD;M;25;LEVE;SD;
LC-2019-0023360;2019-01-11;2019;SD;M;26;LEVE;SD;
LC-2019-0023555;2019-01-11;2019;SD;M;29;LEVE;SD;
LC-2019-0023022;2019-01-11;2019;SD;M;30;LEVE;SD;
LC-2019-0022559;2019-01-11;2019;SD;M;34;LEVE;SD;
LC-2019-0687058;2019-01-11;2019;SD;M;34;LEVE;SD;
LC-2019-0023727;2019-01-11;2019;SD;M;36;LEVE;SD;
LC-2019-0688515;2019-01-11;2019;SD;M;37;LEVE;SD;
LC-2019-0022105;2019-01-11;2019;SD;M;41;LEVE;SD;
LC-2019-0022273;2019-01-11;2019;SD;M;41;LEVE;SD;
LC-2019-0023309;2019-01-11;2019;SD;M;41;LEVE;SD;
LC-2019-0021365;2019-01-11;2019;SD;M;42;LEVE;SD;
LC-2019-0021365;2019-01-11;2019;SD;M;42;LEVE;SD;
LC-2019-0022174;2019-01-11;2019;SD;M;44;LEVE;SD;
LC-2019-0024103;2019-01-11;2019;SD;M;45;LEVE;SD;
LC-2019-0021709;2019-01-11;2019;SD;M;60;LEVE;SD;
LC-2019-0021896;2019-01-11;2019;SD;M;SD;LEVE;SD;
LC-2019-0021896;2019-01-11;2019;SD;M;SD;LEVE;SD;
LC-2019-0022026;2019-01-11;2019;SD;M;SD;LEVE;SD;
LC-2019-0022774;2019-01-11;2019;SD;M;SD;LEVE;SD;
LC-2019-0023539;2019-01-11;2019;SD;M;SD;LEVE;SD;
LC-2019-0022106;2019-01-11;2019;SD;SD;SD;LEVE;SD;
HC-2019-0024030;2019-01-12;2019;MOTO;M;23;MORTAL;CONDUCTOR;2019-1-12
LC-2019-0023906;2019-01-12;2019;AUTO;M;27;GRAVE;SD;
LC-2019-0023906;2019-01-12;2019;AUTO;M;31;GRAVE;SD;
LC-2019-0023906;2019-01-12;2019;AUTO;F;39;GRAVE;SD;
LC-2019-0023906;2019-01-12;2019;AUTO;M;39;GRAVE;SD;
LC-2019-0023906;2019-01-12;2019;AUTO;F;SD;GRAVE;SD;
LC-2019-0024269;2019-01-12;2019;MOTO;M;25;GRAVE;SD;
LC-2019-0023692;2019-01-12;2019;SD;F;24;LEVE;SD;
LC-2019-0024265;2019-01-12;2019;SD;F;32;LEVE;SD;
LC-2019-0024755;2019-01-12;2019;SD;F;34;LEVE;SD;
LC-2019-0024600;2019-01-12;2019;SD;F;35;LEVE;SD;
LC-2019-0024778;2019-01-12;2019;SD;F;38;LEVE;SD;
LC-2019-0033162;2019-01-12;2019;SD;F;58;LEVE;SD;
LC-2019-0024257;2019-01-12;2019;SD;F;70;LEVE;SD;
LC-2019-0023692;2019-01-12;2019;SD;M;24;LEVE;SD;
LC-2019-0024719;2019-01-12;2019;SD;M;25;LEVE;SD;
LC-2019-0024408;2019-01-12;2019;SD;M;27;LEVE;SD;
LC-2019-0267484;2019-01-12;2019;SD;M;31;LEVE;SD;
LC-2019-0023868;2019-01-12;2019;SD;M;33;LEVE;SD;
LC-2019-0023860;2019-01-12;2019;SD;M;34;LEVE;SD;
LC-2019-0023860;2019-01-12;2019;SD;M;34;LEVE;SD;
LC-2019-0024755;2019-01-12;2019;SD;M;34;LEVE;SD;
LC-2019-0024465;2019-01-12;2019;SD;M;47;LEVE;SD;
LC-2019-0024488;2019-01-12;2019;SD;M;50;LEVE;SD;
LC-2019-0023777;2019-01-12;2019;SD;M;52;LEVE;SD;
LC-2019-0024752;2019-01-12;2019;SD;M;54;LEVE;SD;
LC-2019-0757409;2019-01-12;2019;SD;M;59;LEVE;SD;
LC-2019-0025473;2019-01-12;2019;SD;M;75;LEVE;SD;
LC-2019-0024132;2019-01-12;2019;SD;M;SD;LEVE;SD;
LC-2019-0025021;2019-01-13;2019;AUTO;M;74;GRAVE;SD;
LC-2019-0025154;2019-01-13;2019;SD;F;28;LEVE;SD;
LC-2019-0025134;2019-01-13;2019;SD;F;33;LEVE;SD;
LC-2019-0052617;2019-01-13;2019;SD;F;36;LEVE;SD;
LC-2019-0025033;2019-01-13;2019;SD;F;41;LEVE;SD;
LC-2019-0025428;2019-01-13;2019;SD;F;41;LEVE;SD;
LC-2019-0025428;2019-01-13;2019;SD;F;41;LEVE;SD;
LC-2019-0025109;2019-01-13;2019;SD;F;45;LEVE;SD;
LC-2019-0025548;2019-01-13;2019;SD;M;21;LEVE;SD;
LC-2019-0025548;2019-01-13;2019;SD;M;21;LEVE;SD;
LC-2019-0025067;2019-01-13;2019;SD;M;31;LEVE;SD;
LC-2019-0025711;2019-01-13;2019;SD;M;32;LEVE;SD;
LC-2019-0052617;2019-01-13;2019;SD;M;36;LEVE;SD;
LC-2019-0025088;2019-01-13;2019;SD;M;42;LEVE;SD;
LC-2019-0025109;2019-01-13;2019;SD;M;45;LEVE;SD;
LC-2019-0025730;2019-01-13;2019;SD;M;64;LEVE;SD;
LC-2019-0025730;2019-01-13;2019;SD;M;64;LEVE;SD;
LC-2019-0024930;2019-01-13;2019;SD;M;73;LEVE;SD;
LC-2019-0025772;2019-01-13;2019;SD;M;SD;LEVE;SD;
LC-2019-0025411;2019-01-13;2019;TAXI;M;32;GRAVE;SD;
LC-2019-0025411;2019-01-13;2019;TAXI;F;33;GRAVE;SD;
LC-2019-0025411;2019-01-13;2019;TAXI;M;33;GRAVE;SD;
HC-2019-0028374;2019-01-14;2019;AUTO;M;71;MORTAL;CONDUCTOR;2019-1-14
LC-2019-0028641;2019-01-14;2019;PEATON;M;33;GRAVE;PEATON;
LC-2019-0028124;2019-01-14;2019;PEATON;F;73;GRAVE;PEATON;
LC-2019-0027083;2019-01-14;2019;MOTO;M;40;GRAVE;SD;
LC-2019-0026635;2019-01-14;2019;SD;F;20;LEVE;SD;
LC-2019-0025831;2019-01-14;2019;SD;F;21;LEVE;SD;
LC-2019-0027769;2019-01-14;2019;SD;F;25;LEVE;SD;
LC-2019-0025841;2019-01-14;2019;SD;F;48;LEVE;SD;
LC-2019-0025841;2019-01-14;2019;SD;F;48;LEVE;SD;
LC-2019-0030752;2019-01-14;2019;SD;F;60;LEVE;SD;
LC-2019-0027204;2019-01-14;2019;SD;F;SD;LEVE;SD;
LC-2019-0027620;2019-01-14;2019;SD;F;SD;LEVE;SD;
LC-2019-0027679;2019-01-14;2019;SD;F;SD;LEVE;SD;
LC-2019-0026635;2019-01-14;2019;SD;M;20;LEVE;SD;
LC-2019-0025831;2019-01-14;2019;SD;M;21;LEVE;SD;
LC-2019-0028384;2019-01-14;2019;SD;M;25;LEVE;SD;
LC-2019-0028597;2019-01-14;2019;SD;M;27;LEVE;SD;
LC-2019-0033421;2019-01-14;2019;SD;M;28;LEVE;SD;
LC-2019-0026619;2019-01-14;2019;SD;M;29;LEVE;SD;
LC-2019-0028203;2019-01-14;2019;SD;M;29;LEVE;SD;
LC-2019-0028794;2019-01-14;2019;SD;M;30;LEVE;SD;
LC-2019-0027748;2019-01-14;2019;SD;M;31;LEVE;SD;
LC-2019-0027065;2019-01-14;2019;SD;M;32;LEVE;SD;
LC-2019-0028499;2019-01-14;2019;SD;M;33;LEVE;SD;
LC-2019-0027290;2019-01-14;2019;SD;M;34;LEVE;SD;
LC-2019-0027156;2019-01-14;2019;SD;M;40;LEVE;SD;
LC-2019-0028228;2019-01-14;2019;SD;M;41;LEVE;SD;
LC-2019-0028228;2019-01-14;2019;SD;M;41;LEVE;SD;
LC-2019-0027336;2019-01-14;2019;SD;M;60;LEVE;SD;
LC-2019-0026116;2019-01-14;2019;SD;M;SD;LEVE;SD;
LC-2019-0027208;2019-01-14;2019;SD;M;SD;LEVE;SD;
LC-2019-0027969;2019-01-14;2019;SD;M;SD;LEVE;SD;
