Día, Mes, Año de H_Fecha;Hora de H_Fecha;Aut Nombre;Disp Nombre;Disp Ubicacion;Seccion Sentido;Disp Lat;Disp Lng;H_Cant_Veh
1/1/2024;0;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;1344
1/1/2024;1;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;4798
1/1/2024;2;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;5522
1/1/2024;3;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;3452
1/1/2024;4;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;1700
1/1/2024;5;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;1763
1/1/2024;6;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;1560
1/1/2024;7;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;1522
1/1/2024;8;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;1304
1/1/2024;9;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;1419
1/1/2024;10;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;1618
1/1/2024;11;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;2219
1/1/2024;12;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;2862
1/1/2024;13;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;3002
1/1/2024;14;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;2773
1/1/2024;15;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;3507
1/1/2024;16;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;4726
1/1/2024;17;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;5560
1/1/2024;18;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;6156
1/1/2024;19;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;5973
1/1/2024;20;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;5428
1/1/2024;21;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;5076
1/1/2024;22;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;4527
1/1/2024;23;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;3685
2/1/2024;0;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;1749
2/1/2024;1;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;1010
2/1/2024;2;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;717
2/1/2024;3;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;856
2/1/2024;4;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;1424
2/1/2024;5;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;3335
2/1/2024;6;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;6097
2/1/2024;7;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;8022
2/1/2024;8;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;8497
2/1/2024;9;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;7956
2/1/2024;10;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;7345
2/1/2024;11;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;6471
2/1/2024;12;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;6203
2/1/2024;13;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;6314
2/1/2024;14;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;5565
2/1/2024;15;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;5471
2/1/2024;16;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;5848
2/1/2024;17;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;6252
2/1/2024;18;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;6006
2/1/2024;19;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;4727
2/1/2024;20;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;4235
2/1/2024;21;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;3429
2/1/2024;22;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;2456
2/1/2024;23;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;1865
3/1/2024;0;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;1479
3/1/2024;1;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;888
3/1/2024;2;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;710
3/1/2024;3;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;789
3/1/2024;4;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;1226
3/1/2024;5;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;3069
3/1/2024;6;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;5979
3/1/2024;7;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;8267
3/1/2024;8;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;8879
3/1/2024;9;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;8601
3/1/2024;10;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;7643
3/1/2024;11;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;6789
3/1/2024;12;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;6478
3/1/2024;13;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;6573
3/1/2024;14;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;6017
3/1/2024;15;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;5646
3/1/2024;16;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;6054
3/1/2024;17;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;6572
3/1/2024;18;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;5806
3/1/2024;19;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;4894
3/1/2024;20;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;4574
3/1/2024;21;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;3752
3/1/2024;22;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;2526
3/1/2024;23;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;2036
4/1/2024;0;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;1665
4/1/2024;1;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;885
4/1/2024;2;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;634
4/1/2024;3;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;602
4/1/2024;4;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;1046
4/1/2024;5;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;2952
4/1/2024;6;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;5785
4/1/2024;7;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;8231
4/1/2024;8;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;8853
4/1/2024;9;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;8794
4/1/2024;10;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;7974
4/1/2024;11;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;7120
4/1/2024;12;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;7019
4/1/2024;13;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;6845
4/1/2024;14;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;6074
4/1/2024;15;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;5930
4/1/2024;16;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;6280
4/1/2024;17;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;6621
4/1/2024;18;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;6122
4/1/2024;19;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;5079
4/1/2024;20;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;4773
4/1/2024;21;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;3749
4/1/2024;22;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;2671
4/1/2024;23;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;1999
5/1/2024;0;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;1751
5/1/2024;1;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;1225
5/1/2024;2;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;770
5/1/2024;3;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;685
5/1/2024;4;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;1094
5/1/2024;5;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;2969
5/1/2024;6;AU 4  Lugones;RD171 Esma;9,9;A;-34,53767;-58,45967;5518
