año,mes,lluvia_dias,mm
2007,Septiembre,16.0,106.8
2007,Octubre,1.0,179.2
2007,Noviembre,3.0,57.7
2007,Diciembre,21.0,38.8
2008,Enero,12.0,111.6
2008,Febrero,10.0,94.7
2008,Marzo,14.0,120.9
2008,Abril,4.0,39.4
2008,Mayo,6.0,7.0
2008,Junio,6.0,59.9
2008,Julio,15.0,46.3
2008,Agosto,7.0,19.0
2008,Septiembre,9.0,22.4
2008,Octubre,10.0,85.8
2008,Noviembre,7.0,91.1
2008,Diciembre,10.0,24.0
2009,Enero,9.0,23.9
2009,Febrero,9.0,134.1
2009,Marzo,8.0,168.7
2009,Abril,6.0,39.0
2009,Mayo,11.0,47.6
2009,Junio,5.0,20.8
2009,Julio,10.0,129.7
2009,Agosto,6.0,26.8
2009,Septiembre,14.0,134.4
2009,Octubre,9.0,234.0
2009,Noviembre,19.0,211.2
2009,Diciembre,14.0,154.1
2010,Enero,13.0,153.5
2010,Febrero,13.0,421.0
2010,Marzo,9.0,102.0
2010,Abril,6.0,92.0
2010,Mayo,10.0,125.0
2010,Junio,8.0,53.6
2010,Julio,12.0,105.2
2010,Agosto,9.0,24.4
2010,Septiembre,12.0,131.1
2010,Octubre,9.0,42.5
2010,Noviembre,7.0,59.1
2010,Diciembre,5.0,42.0
2011,Enero,13.0,165.0
2011,Febrero,11.0,135.0
2011,Marzo,7.0,35.1
2011,Abril,14.0,109.3
2011,Mayo,7.0,43.8
2011,Junio,9.0,135.4
2011,Julio,5.0,109.6
2011,Agosto,10.0,24.5
2011,Septiembre,3.0,19.0
2011,Octubre,11.0,66.3
2011,Noviembre,7.0,47.0
2011,Diciembre,8.0,36.8
2012,Enero,7.0,47.4
2012,Febrero,14.0,245.0
2012,Marzo,10.0,156.5
2012,Abril,8.0,68.5
2012,Mayo,9.0,97.4
2012,Junio,11.0,9.9
2012,Julio,5.0,26.0
2012,Agosto,16.0,229.9
2012,Septiembre,10.0,84.3
2012,Octubre,16.0,288.7
2012,Noviembre,10.0,137.7
2012,Diciembre,11.0,259.3
2013,Enero,7.0,52.5
2013,Febrero,10.0,115.4
2013,Marzo,12.0,80.3
2013,Abril,8.0,275.0
2013,Mayo,10.0,123.0
2013,Junio,5.0,9.8
2013,Julio,8.0,91.6
2013,Agosto,3.0,19.3
2013,Septiembre,12.0,192.0
2013,Octubre,6.0,31.4
2013,Noviembre,10.0,146.8
2013,Diciembre,6.0,8.3
2014,Enero,13.0,268.8
2014,Febrero,12.0,254.8
